odds,Date,home_team,away_team,Game,Round,Goals,Behinds,Points,Margin,Venue,Opposition,Opposition Goals,Opposition Behinds,Opposition Points,odds_away,Goals_away,Behinds_away,Margin_away
2.3839,23/06/2012,Fremantle,Essendon,14065,13,14,5,89,-24,Subiaco,Essendon,17,11,113,1.7049,17,11,24
1.4559,23/06/2012,Western Bulldogs,Brisbane,14063,13,7,14,56,-58,Docklands,Brisbane,18,6,114,3.1445,18,6,58
1.311,24/06/2012,Melbourne,GWS,14066,13,20,15,135,78,M.C.G.,GWS,9,3,57,4.1752,9,3,-78
3.5693,24/06/2012,North Melbourne,Adelaide,14067,13,17,19,121,32,Docklands,Adelaide,13,11,89,1.3847,13,11,-32
3.7986,29/06/2012,Carlton,Hawthorn,14068,14,10,10,70,-50,M.C.G.,Hawthorn,18,12,120,1.3515,18,12,50
1.5035,30/06/2012,Adelaide,Richmond,14070,14,17,4,106,19,Football Park,Richmond,13,9,87,2.9411,13,9,-19
1.12,30/06/2012,Collingwood,Fremantle,14069,14,15,17,107,29,M.C.G.,Fremantle,12,6,78,9.0909,12,6,-29
1.2023,30/06/2012,Essendon,Western Bulldogs,14072,14,21,14,140,84,Docklands,Western Bulldogs,8,8,56,5.7881,8,8,-84
1.0236,30/06/2012,Sydney,GWS,14073,14,19,18,132,94,Stadium Australia,GWS,5,8,38,39.2735,5,8,-94
1.0199,30/06/2012,West Coast,Gold Coast,14071,14,25,16,166,126,Subiaco,Gold Coast,5,10,40,39.7991,5,10,-126
4.7075,7/07/2012,Melbourne,Richmond,14079,15,11,12,78,-23,M.C.G.,Richmond,13,23,101,1.2655,13,23,23
2.7566,7/07/2012,North Melbourne,West Coast,14078,15,13,6,84,-2,Bellerive Oval,West Coast,12,14,86,1.5593,12,14,2
