date,game_id,season,round,venue,team_1,team_2,home_team_1,margin,winner,supercoach_1,supercoach_2,elo_1,elo_2
2012-08-11,164,2012,20,M.C.G.,Melbourne,St Kilda,0,-25,0,69.0,79.5,1267.3584754657295,1552.1382453184224
2012-08-11,165,2012,20,Football Park,Adelaide,Fremantle,1,28,1,84.5,66.5,1584.9204695494834,1432.2532375571213
2012-08-11,166,2012,20,Carrara,Gold Coast,GWS,1,30,1,76.5,71.5,1128.885893647689,1135.7487225948657
2012-08-12,167,2012,20,M.C.G.,Richmond,Western Bulldogs,1,70,1,91.0,59.0,1433.0239417729044,1387.2643982390223
2012-08-12,168,2012,20,Docklands,Essendon,North Melbourne,1,-24,0,68.0,81.5,1500.6216119753974,1513.9346955090446
2012-08-12,169,2012,20,York Park,Hawthorn,Port Adelaide Power,1,72,1,82.0,62.0,1797.0703240930482,1298.0555414587318
2012-08-17,170,2012,21,Docklands,St Kilda,Geelong,0,-42,0,75.5,82.5,1557.0149567889096,1685.580546287572
2012-08-18,171,2012,21,M.C.G.,Essendon,Carlton,1,-96,0,64.5,88.0,1486.1961028509884,1539.1335364929448
2012-08-18,172,2012,21,Gabba,Adelaide,Brisbane,0,-10,0,77.5,83.0,1578.723120357516,1363.75355219734
2012-08-18,173,2012,21,Subiaco,Richmond,Fremantle,0,-22,0,65.0,78.5,1406.0596880758292,1593.4505867490886
2012-08-18,174,2012,21,Manuka Oval,Melbourne,GWS,0,25,1,89.0,61.0,1262.4817639952423,1145.4524689809114
2012-08-18,175,2012,21,Docklands,North Melbourne,Collingwood,0,30,1,78.5,63.0,1528.3602046334536,1764.895762303941
2012-08-19,176,2012,21,Football Park,Port Adelaide Power,West Coast,1,-48,0,67.5,90.0,1311.4497371651648,1510.9120178986675
2012-08-19,177,2012,21,M.C.G.,Gold Coast,Hawthorn,0,-64,0,57.5,85.0,1119.1821472616434,1713.6761283866151
2012-08-19,178,2012,21,Docklands,Sydney,Western Bulldogs,0,82,1,78.5,66.0,1634.4490276380736,1414.2286519360975
2012-08-24,179,2012,22,M.C.G.,Richmond,Essendon,1,45,1,87.5,64.0,1438.4471743865518,1473.464072039161
2012-08-25,180,2012,22,Docklands,St Kilda,GWS,1,128,1,85.0,57.0,1587.3253771240745,1110.3222343979207
2012-08-25,181,2012,22,S.C.G.,Hawthorn,Sydney,0,7,1,66.0,77.5,1674.624409033526,1666.0386139278426
2012-08-25,182,2012,22,Subiaco,Collingwood,West Coast,0,-49,0,61.5,69.5,1741.0151342397314,1688.1365737539497
2012-08-25,183,2012,22,Football Park,Port Adelaide Power,Brisbane,1,-11,0,71.0,74.5,1304.2251813098826,1362.007222155579
2012-08-25,184,2012,22,Carrara,Gold Coast,Carlton,1,12,1,73.5,76.5,1143.2338666147325,1551.8655673047722
2012-08-26,185,2012,22,Docklands,North Melbourne,Fremantle,1,-53,0,69.0,82.5,1592.240832697663,1431.063100438366
2012-08-26,186,2012,22,M.C.G.,Melbourne,Adelaide,1,-69,0,72.5,78.5,1312.611998578233,1555.469450399277
2012-08-26,187,2012,22,Kardinia Park,Western Bulldogs,Geelong,0,-34,0,68.0,79.0,1367.6390656463286,1865.270125952407
2012-08-31,188,2012,23,M.C.G.,Hawthorn,West Coast,1,25,1,84.5,73.0,1729.2538058985517,1535.402059226721
